회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치,R & D 투자효율,경상개발비율,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부,기업수명주기,통계청 한국표준산업분류 10차(세세분류),회생기업1,회생기업2
(주)비보존헬스케어,82800,201312,3.25,16.45,10.32,16.03,27.07,13.81,7.66,-1.9,-8.05,0,0,-3.47,1.83,4.58,8.72,9.16,10.18,4.24,3.21,2.53,15.78,142.47,74.19,19.46,122.96,0,11.71,3.8,0,44.85,37.58,72.17,105.43,112.95,55.15,47.93,160.78,21.51,44972.62,140440.81,318.16,0,0,0,0,0,0,0,0,0,1,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,1
(주)비보존헬스케어,82800,201412,-3.28,-32.15,-34.74,-34.96,-4.21,-10.42,3.62,-1.08,-3.75,0,0,-1.96,1.81,4.88,7.51,9.47,11.32,3.46,3.8,2.55,11.19,237.46,108.37,6.64,57.93,0,24.65,4.03,0,63.32,31.57,69.18,216.56,46.01,36.68,54.36,93.91,40.05,45276.03,178028.41,275.96,0,0,0,0,0.16,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)비보존헬스케어,82800,201512,-16.26,-9.02,-35.31,-9.53,-27.27,-25.21,0.36,-10.81,-33.13,0,0,-18.97,1.76,4.85,7.21,10.89,17.92,3.07,4.11,2.54,13.94,162.41,81.15,5.88,97.56,0,12.08,3.24,0,50.62,34.37,68.79,149.24,83.68,49.38,50.03,130.2,26.43,37920.71,199434.87,312.23,0,0,0,0,0.56,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)비보존헬스케어,82800,201612,0.79,-13.85,-13.93,-8.71,-7.75,-23.99,7.96,-2.61,-7.52,0,0,-3.93,1.5,3.94,5.68,11.32,10.11,2.88,3.15,2.13,9.09,196.33,99.35,10.84,84.5,0,22.52,6.34,0,54.2,36.89,72.89,122.16,68.5,45.8,49.4,100.67,35.77,33245.06,253916.98,384.96,0,0,0,0,0.59,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)비보존헬스케어,82800,201712,-7.38,-13.24,-36.32,-8.62,-29.21,-10.54,1.15,-10.93,-34.33,0,0,-17.02,1.56,4.3,5.06,13.38,8.25,3.14,3.09,2.08,15.22,140.24,75.29,8.02,126.12,0,12.07,4.01,0,44.22,41.22,76.78,93.77,123.79,55.78,46.31,161.4,22.03,40447.3,327773.01,418.44,0,0,0,0,0.45,0,0,0,0,0,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)비보존헬스케어,82800,201812,-7.54,176.48,-11.29,79.11,325.14,-24.61,-18.01,-18.55,-20.19,0,0,-12.45,0.67,5.24,4.74,13.74,6.83,1.09,1.75,1.18,2.18,635.22,536.43,156.29,47.05,0,-8.63,-6.04,0,68,42,49.74,102.09,11.51,32,15.55,18.46,41.91,36297.44,168871.17,1198.24,0,0,0,0,0.78,0,0,0,0,0,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)비보존헬스케어,82800,201912,-0.26,62.71,-73.66,188.9,59.56,-4.57,7.34,-64.53,-30.21,0.92,-4.39,-20.3,0.33,7.42,6.18,22.07,7.36,0.49,1.01,0.45,0.99,267.53,262.6,105.41,51.06,0,1.19,1.48,0,66.2,86.75,88.37,82.53,49.9,33.8,1.84,2.94,55.34,20228.1,245.12,4015.95,0,-5.98,-21.9,-240122.44,0.82,0,0,0,0,0,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)신성이엔지,11930,201112,-1.67,-3.4,22.11,-45.52,-0.06,-15.88,-9.3,-16.99,-21.69,0,0,-7.78,0.46,7.83,5.28,1.14,12.13,1.28,0.71,1.72,-3.98,44.88,29.3,3.1,173.86,0,1.81,2.47,0,36.51,12.46,19.09,290.9,116.5,63.49,34.72,-28.28,-23.45,406301.69,257540.36,1010.27,0,0,0,0,0.09,0,0,0,0,0,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)신성이엔지,11930,201212,-3.08,-22.76,-6.6,-25.03,-55.69,-19.64,-6.49,-41.56,-59.12,0,0,-17.58,0.42,6.99,5.84,0.86,11.1,1.42,0.6,2.24,-2.59,33.05,21.99,2.55,377.39,0,-7.85,-12.79,0,20.95,12.33,18.53,121.47,267.69,79.05,33.48,-16.53,-37.54,474233.31,328605.09,890.83,0,0,0,0,1,0,0,0,0,0,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)신성이엔지,11930,201312,-1.04,-7.97,-7.74,4.5,-34.28,-4.55,0.23,-17.9,-47.76,0,0,-8.63,0.48,9.08,4.51,0.88,6.11,2.67,0.59,2.44,-3.47,42.02,33.41,3.32,568.44,0,-0.84,-1.41,0,14.96,16.73,21.05,116.8,334.78,85.04,20.51,-14.86,-29.04,773138.63,584852.11,1418.89,0,0,0,0,0.86,0,0,0,0,0,0,0,5,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)신성이엔지,11930,201412,-0.28,15.76,-6.32,82.26,13.89,27.63,3.59,-6.01,-24.12,0,0,-3.58,0.6,12.94,3.02,1.21,4.43,4.01,0.7,2.16,-2.4,41.78,36.05,5.27,579.43,0,-2.74,-4.21,0,14.72,28.6,33.14,84.96,538.94,85.28,13.7,-9.83,-46.19,538721.28,449555.74,1215.79,0,0,0,0,0.6,0,0,0,0,1,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)신성이엔지,11930,201512,0.78,-6.61,-0.63,-23.33,23.46,-10.02,11.42,1.22,3.72,0,0,0.63,0.52,9.19,2.32,1.13,3.73,3.04,0.62,1.71,-6.48,62.23,49.78,3.13,413.91,0,-1.38,-2.08,0,19.46,21.76,27.2,99.15,224.65,80.54,20.02,-32.98,-16.51,556410.97,513233.88,1181.64,0,0,0,0,0.77,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)신성이엔지,11930,201612,-1.15,106.68,44.31,290.52,107.22,24.21,1.66,1.46,15.19,-1.95,-4.49,2.96,0.43,9.35,1.46,1.15,1.52,2.22,0.54,1,-5.44,82.5,74.83,16.48,467.56,27.67,6.18,15.48,18.14,17.62,49.19,54.23,68.64,373.09,82.38,9.3,-43.86,-11.5,275315.43,175230.1,859.95,22.30590039,7.14,22.82,61411.59,0.92,0,0,0,0,1,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)신성이엔지,11930,201712,-0.52,-1.6,-1.95,-2.91,-33.09,356.02,6.71,-3.96,-38.4,-0.82,-0.57,-5.69,1.44,32.93,3.84,4.22,3.88,9.71,1.69,2.67,-16.17,74.89,70.57,10.09,734.68,30.19,3.73,2.26,10.87,11.98,50.42,53.51,68.44,596.41,88.02,5.78,-17.23,-17.94,247724.41,175320.24,737.43,45.18183559,15.18,10.46,111926.44,0.58,0,0,0,0,0,0,0,1,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)신성이엔지,11930,201812,-0.36,-39.5,-35.83,-56.26,39.45,-57.13,9.93,2.52,10.92,-0.76,-0.98,1.95,0.77,16.34,2.42,2.23,2.66,4.34,0.94,1.62,-7.57,58.77,49.32,5.99,262.14,40.15,-10.31,-7.26,-18.58,27.61,32.47,38.69,111.76,238.43,72.39,16.08,-22.91,-27.15,286253.87,175443.55,802.22,51.16996933,18.26,17.76,146476.02,1.27,0,0,0,0,0,0,0,5,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)신성이엔지,11930,201912,0.87,0.84,-0.37,10.64,7.09,6.23,12.82,0.46,1.77,2.34,2.15,0.5,1.09,15.61,5.68,3.03,7.02,3.82,1.52,2.68,-8.97,63.73,54.83,6.82,240.99,32.55,-6.04,-3.94,-13.12,29.33,36.52,42.45,121.09,227.12,70.67,13.96,-24.54,-24.16,276010.59,171903.96,783.11,64.38700089,22.69,20.96,177714.94,1.46,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)알에프세미,96610,201112,20.01,30.58,37.39,28.43,21.23,27.28,35.56,20.36,20.57,18.46,26.52,14.17,0.7,1.61,4.49,1.64,12.61,1.01,2.23,1.41,4.72,213.42,82.93,16.06,50.1,21.76,26.3,14.29,40.33,66.62,19.05,49.03,235.45,34.48,33.38,61.14,115.05,26.06,82134.52,106477.53,228.63,97.28447126,34.95,56.89,79904.13,2.26,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)알에프세미,96610,201212,9.77,14.05,25.33,5.42,9.81,14.51,24.54,11.02,11.1,9.81,14.92,7.25,0.66,1.83,4.3,1.44,13.37,1.01,1.89,1.4,7.25,160.13,73.15,13.98,55.89,23.28,26.55,15.43,40.9,64.15,20.7,45.32,338.36,44.12,35.85,54.32,144.65,17.02,108254.24,143362.98,305.93,72.93911596,25.81,41.84,78959.69,2.47,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)알에프세미,96610,201312,12.21,14.6,18.86,11.77,11.19,23.64,22.32,10.47,11.79,10.39,14.62,7.44,0.71,2.27,4.51,1.46,14.48,1.13,1.93,1.59,9.13,149.21,67.72,13.03,60.67,23.91,32.34,18.35,51.08,62.24,20.06,44.2,243.54,47.6,37.76,54.62,165.61,14.58,77079.17,99737.39,195.26,67.56586644,26.67,40.08,52079.21,0.51,0,0,1,0,1,0,1,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)알에프세미,96610,201412,5.23,11.1,3.45,16.35,5.55,5.54,15.66,5.77,6.34,5.71,8.58,3.84,0.67,2.28,4.8,1.4,16.24,1.1,1.69,1.47,8.16,150.29,68.95,26.25,69.11,31.42,22.96,14.84,29.86,59.13,21.24,46.29,388.86,52.09,40.87,54.12,161.74,15.49,89236.52,111904.5,227.63,67.65810354,26.52,41.95,60375.74,0.19,0,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
(주)알에프세미,96610,201512,4.01,2.05,0.1,-1.91,3.79,3.32,15.56,3.88,4.21,3.39,5.24,2.51,0.65,2.22,5.67,1.42,20.04,1.08,1.6,1.42,7.74,159.14,73.06,34.77,66.28,28.22,24.37,15.18,34.42,60.14,20.43,44.5,283.42,46.49,39.86,54.09,145.55,16.54,104913.59,121861.76,234.74,58.17445868,26,40.62,61032.91,0.27,0,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,
