회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치,R & D 투자효율,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부,기업수명주기,통계청 한국표준산업분류 10차(세세분류),회생기업1,회생기업2
서울반도체(주),46890,201912,6.62,2.19,4.03,2.91,2.82,-5.38,22.45,3.17,4.87,3.79,4.38,2.74,0.86,5.66,2.85,1.92,5.47,1.54,1.97,1.85,15.45,130.94,98.3,9.4,77.3,16.03,23.69,12.08,64.41,56.4,35.15,46.82,142.76,63.4,43.6,24.93,105.51,11.06,632221.12,1087325.56,1482.22,47.6393661,20.32,23.78,301186.13,5.81,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
에스케이하이닉스(주),660,201112,1.05,-1,2.92,-8.85,-0.41,-14.13,16.11,-0.54,-0.71,1.88,3.13,-0.32,0.6,7.08,5.9,0.97,13.38,1.32,1.1,2.01,173.9,102.48,77.91,25.82,118.89,23.05,46.67,42.03,109.99,45.69,21.77,28.64,227.14,61.17,54.31,23.97,989.94,0.69,533357.18,1341645.73,879.45,48.460648,29.39,48.73,258468.34,8.42,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
에스케이하이닉스(주),660,201212,-0.72,8.18,6.3,7.63,23.67,-2.25,15.86,-1.56,-1.8,-1.27,-2.24,-0.88,0.57,6.35,5.65,0.9,15.99,1.15,1.11,1.98,23.3,119.64,85.66,14.82,91.48,20.06,28.44,24.93,67.73,52.23,20.4,28.49,290.1,45.6,47.77,28.41,173.01,4.68,543139.06,1417766.59,907.04,42.83598218,25.65,47.07,232658.95,9.7,0,1,0,0,0,1,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
에스케이하이닉스(주),660,201312,13.17,11.52,4.69,25.21,34.16,39.39,37.42,20.28,25.19,17.14,23.86,14.57,0.72,6.6,6.9,1.19,22.82,1.24,1.7,2.37,7.92,216.13,177.86,20.53,59.16,12.5,55.52,30.3,165.04,62.83,26.32,31.99,299.27,23.56,37.17,17.71,32.96,17.19,551803.19,1536227.98,1001.99,71.49467133,39.37,57.81,394509.88,7.01,0,0,0,0,0,0,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",1,0
에스케이하이닉스(주),660,201412,29.99,29.26,16.16,55.77,38.03,20.9,44.75,24.5,26.98,21.43,29.84,17.6,0.72,7.07,4.98,1.31,23.84,1.1,2.07,2.01,7.45,179.76,153.78,7.58,49.05,10.48,69.17,35.73,217.17,67.09,32.98,38.55,473.83,31.96,32.91,14.45,32.57,17.1,579461.6,1622055.68,1247.43,88.35129181,41.04,64.43,511961.81,8.45,0,0,0,0,0,1,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,1
에스케이하이닉스(주),660,201512,45.03,10.4,20.41,-5.82,18.58,9.77,44.06,23,21.93,18.87,28.39,15.29,0.66,6.15,5.15,1.21,23.81,0.95,2.19,1.87,7.64,201.62,161.89,24.29,38.76,7.16,91.59,40.39,357.24,72.07,26.41,32.89,332.14,22.63,27.93,19.71,39.1,16.58,702551.11,1778591.85,1340.53,75.34450631,39.49,62.34,529333.66,8.74,0,0,0,0,0,1,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
에스케이하이닉스(주),660,201612,27.28,8.55,10.68,0.81,12.32,-8.51,37.28,17.21,13.04,10.59,19.05,9.57,0.56,5.46,5.77,0.96,23.12,0.76,2.09,1.75,6.06,236.47,187.77,14.75,34.1,7.7,90.74,43.23,299.78,74.57,24.25,30.54,467.09,17.32,25.43,20.59,35.68,17.63,774668.28,1951971.6,1447.65,58.19485845,31.14,58.34,450817.11,10.58,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
에스케이하이닉스(주),660,201712,110.73,40.98,28.15,75.94,40.78,75.08,57.81,35.35,36.8,35.35,45.57,27.42,0.78,5.44,6.8,1.41,41.4,1.04,3.04,2.22,6.55,213.28,180.75,36.35,34.29,5.8,87.26,33.61,384.16,74.47,32.3,38.11,732,24,25.53,15.25,28.72,20.24,893771.57,1984618.4,1939.97,102.6579046,47.3,71.34,917527.17,6.7,0,0,0,0,0,1,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
에스케이하이닉스(주),660,201812,220.25,40.16,45.26,14.93,38.53,34.33,62.47,38.42,38.53,38.22,51.54,28.49,0.74,4.3,6.79,1.37,43.61,1,2.85,2.17,11.79,152.66,118.72,18.03,35.87,5.22,109.84,45.64,554.98,73.6,24.3,31.25,576.44,27.81,26.4,22.23,64.45,10.78,1159291.39,2207578.93,2451.04,104.1210576,49.25,77.51,1207066.46,5.68,0,0,0,0,0,1,3,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
에스케이하이닉스(주),660,201912,11.37,1.78,14.3,-27.33,2.33,-33.27,30.25,7.47,4.25,4.22,10.05,3.14,0.42,3.87,5.09,0.72,25.24,0.57,1.6,1.57,8.2,183.61,116.35,29.29,35.14,11.55,85.21,53.19,191.89,74,14.14,22.31,408.78,16.42,26,36.63,80.44,10.16,1274252.51,2395233.5,2293.92,40.44255864,22.47,53.93,515340.32,11.31,0,0,0,0,0,0,2,"    다이오드, 트랜지스터 및 유사 반도체소자 제조업",0,0
(주)아모텍,52710,201112,0.02,13.49,14.57,6.33,-4.03,4.29,25.27,-4.41,-3.99,0.05,0.11,-1.93,0.44,3.08,4.57,0.83,18.88,0.91,0.85,1.57,-8.29,73.13,41.19,4.89,124.49,45.52,3.88,5.23,4.73,44.55,15.24,27.05,350.4,83.04,55.45,43.67,-118.83,-9.94,156142.47,116372.35,307.37,28.74791942,14.6,35.46,44887.71,6.15,0,0,0,0,0,1,2,      그 외 기타 전자부품 제조업,0,0
(주)아모텍,52710,201212,2.67,24.55,11.1,64.73,7.15,91.53,24.14,4.91,8.39,6.16,8.76,3.45,0.7,4.23,5.71,1.41,12.41,1.71,1.19,2.2,-10,73.85,46.5,11.52,160.94,43.18,6.64,6.46,9.48,38.32,22.53,35.78,168.43,126.41,61.68,37.04,-104.61,-12.67,130457,108799.06,285.37,46.48351958,21.25,33.55,60641,4.73,0,0,0,1,0,0,2,      그 외 기타 전자부품 제조업,1,0
(주)아모텍,52710,201312,3.52,2.71,11.24,-5.19,16.25,32.32,23.3,4.51,9.12,7.48,9.04,3.73,0.83,5.57,6.21,1.68,13.98,2.02,1.4,2.4,-26.51,84.29,59.86,14.63,130.57,42.31,16.59,11.52,22.21,43.37,23.45,33.02,310.5,90.34,56.63,28.99,-155.51,-6.16,135237.4,120496.51,271.39,57.70563146,28.76,35.24,78039.6,4.84,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,1
(주)아모텍,52710,201412,0.42,5.09,-0.8,11.63,-3.06,-28.01,20.27,-1.29,-1.77,0.82,1.43,-0.74,0.57,4.06,4.81,1.15,14.41,1.38,0.98,1.68,-26.96,89.43,56.7,9.21,149.95,46.87,10.68,11.46,13.66,40.01,22.24,35.08,259.34,98.05,59.99,36.6,-309.66,-4.15,147147.19,139987.5,312.56,47.60985625,22.41,40.1,70056.57,6.26,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)아모텍,52710,201512,4.13,12.39,3.28,31.95,17.85,75.89,18.39,4.97,11.22,6.34,6.85,4.6,0.93,6.42,8.79,2,15.03,2.26,1.57,2.42,47.08,109.91,81.09,32.52,138.37,40.68,10.83,7.19,15.46,41.95,30.38,41.19,118.22,89.32,58.05,26.23,290.76,3.72,154176.61,144563.55,347.54,59.76961851,26.51,30.32,92150.77,4.58,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)아모텍,52710,201712,10.55,11.27,-2.4,24.45,16.3,6.57,25.15,8.03,14.2,10.93,12.96,6.77,0.84,5.85,8.61,2.23,11.02,1.77,1.61,1.92,10.75,147.41,108,37.53,105.5,32.32,15.99,10.26,25.4,48.66,33.92,46.3,100.9,64.54,51.34,26.74,83.13,14.89,147318.55,172524.42,429.36,78.77076298,27.03,33.77,116043.94,4.51,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)아모텍,52710,201812,2.72,0.42,19.59,-19.66,2.92,-19.66,20.47,2.81,3.66,2.86,4.45,1.8,0.64,4.31,7.09,1.65,8.81,1.3,1.26,1.54,-177.87,98.09,68.12,20.23,100.5,28.45,13.58,10.63,23.93,49.88,25.72,37.04,124.47,75.71,50.12,30.55,-1571.89,-0.72,159427.94,184273,450.79,59.47436152,21.03,32.85,94818.75,5.67,0,0,0,0,0,1,2,      그 외 기타 전자부품 제조업,0,0
(주)아모텍,52710,201912,1.39,8.78,9.13,14.88,0.75,-1.92,19.69,0.15,0.18,1.69,2.81,0.09,0.6,3.72,7.47,1.42,9.81,1.25,1.16,1.58,21.32,116.07,73.01,34.38,116.48,37.51,5.28,4.92,7.58,46.19,24.61,39.12,116,72.96,53.81,37.1,267.98,5.41,198680.33,219602.22,483.22,47.58643841,19.57,33.89,94544.89,4.7,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)에스디시스템,121890,201112,-122.18,2.38,56.61,-1.19,-15.87,-20.43,7.2,-3.31,-3.87,0,0,-3.01,0.91,6.03,3.62,34.84,7,1.17,4.1,1.01,2.97,316.44,266.11,39.97,42.39,0,-4.66,-1.54,0,70.23,74.57,88.68,134.75,39.9,29.77,15.91,23.25,60.65,10989.56,6.37,348.33,0,0,0,0,6.22,0,0,0,0,0,0,4,      그 외 기타 전자부품 제조업,0,0
(주)에스디시스템,121890,201312,-122.18,-16.66,-8.43,-14.26,-18.06,-10.96,3.34,-8.83,-19.75,0,0,-14.56,1.65,9.04,4.5,46.99,11.93,2.24,6.28,1.83,5.35,384.1,299.93,39.63,36.88,0,-30.08,-4.47,0,73.06,71.54,91.62,259.91,32.65,26.94,21.91,29.63,67.77,8843.29,1001.29,239.64,0,0,0,0,4.48,0,0,0,0,0,0,4,      그 외 기타 전자부품 제조업,0,0
(주)에스디시스템,121890,201612,-122.18,0.15,11.87,-4.66,-23.76,-6.39,8.25,-10.83,-25.77,0,0,-16.3,1.51,8.46,4.75,16.43,23.7,2.38,4.1,1.84,7.94,190.52,150.3,53.76,82.83,0,15.64,4.71,0,54.7,62.9,79.73,291.69,76.51,45.3,21.11,44.43,37.88,22449.78,4109.36,232.07,0,0,0,0,8.33,0,0,0,1,0,0,3,      그 외 기타 전자부품 제조업,0,0
(주)에스디시스템,121890,201712,-62.23,-16.91,18.33,-20.01,-39.49,-12.9,10.66,-16.52,-49.34,0,0,-23.66,1.43,7.44,4.35,12.41,24.12,2.99,2.75,1.83,14.7,138.8,106.89,15.46,151.04,0,-21.52,-8.21,0,39.83,59.11,76.76,579.26,138.83,60.17,22.99,82.25,21.46,27469.38,4913.19,199.4,0,0,0,0,9.43,0,1,0,0,0,0,1,      그 외 기타 전자부품 제조업,0,0
(주)에스디시스템,121890,201812,-16.49,-0.97,-9.2,-9.43,19.84,-17.7,9.23,-12.37,-36.69,0,0,-16.14,1.3,7.65,3.69,9.88,38.31,2.96,2.33,1.77,11.62,147.38,119.49,44.7,107.44,0,-33.5,-13.24,0,48.21,56.92,70.21,635.33,98.82,51.79,18.92,58.86,22.57,38508.16,9940.54,304.86,0,0,0,0,6.01,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)에스앤에스텍,101490,201212,-0.22,2.45,1.26,13.63,-5.83,1.56,18.47,-8.39,-6.8,-0.45,-1.15,-3.27,0.39,5.56,4.8,0.74,20.33,0.81,0.75,1.25,50.52,104.88,85.46,48.58,116.67,36.96,9.54,13.33,13.9,46.15,26.71,32.78,332.55,67.71,53.85,18.52,397.64,1.53,498715.17,511537.91,981.05,22.46136781,11.42,29.62,112018.25,5.06,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)에스앤에스텍,101490,201312,-0.6,-4.28,11.49,-19.33,-13.91,31.31,14.59,-15.53,-18.3,-1.22,-2.36,-8.03,0.52,7.95,5.96,0.91,23.15,1.18,0.92,1.71,-9.35,70.94,58.03,24.98,140.92,48.36,7.51,8.3,9.08,41.51,22.59,27.62,306.21,93.8,58.49,18.21,-44.45,-11.31,478644.35,495884.24,799.07,12.98730083,7.78,14.71,62162.98,5.5,0,0,0,0,0,1,2,      그 외 기타 전자부품 제조업,0,0
(주)에스앤에스텍,101490,201412,5.79,-32.92,-38.52,-28.72,-7.89,-32.79,33.49,-10.21,-9.1,6.23,14.64,-4.34,0.43,5.25,4.34,0.72,21.62,0.89,0.81,1.5,12.98,138.52,110.54,47.35,75.46,33.2,11.26,9.14,14.59,56.99,23.43,29.35,883.64,37.18,43.01,20.19,72.62,8.16,305240.73,422678.64,560.39,16.29680317,8.88,16.75,49744.48,6.41,0,1,0,0,0,0,3,      그 외 기타 전자부품 제조업,0,0
(주)에스앤에스텍,101490,201512,13.33,12.32,-2.31,49.92,34.85,15.27,36.98,14.4,12.91,0,0,8.1,0.56,4.88,5.45,1.07,23.44,0.9,1.51,1.62,6.83,165.57,130.05,85.12,46.86,0,40.01,24.01,0,68.09,30.89,39.32,268.51,34.88,31.91,21.45,54.17,15.57,260090.64,391533.88,541.09,0,0,0,0,6,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)에스앤에스텍,101490,201612,12.9,25.6,63.98,-16.12,14.58,5.47,29.46,16.59,12.74,0,0,8.25,0.5,4.85,5.54,0.86,16.87,0.77,1.41,1.55,14.35,131.06,99.74,29.01,60.99,0,29.45,24.99,0,62.12,19.98,26.26,308.27,32.26,37.88,23.9,100.85,6.22,356608.75,481067.17,728.76,0,0,0,0,6.08,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)에스앤에스텍,101490,201712,6.84,-0.01,-4.22,9.94,4.28,-0.21,20.9,5.81,4.08,0,0,2.59,0.45,5.37,5.64,0.71,20.62,0.7,1.22,1.62,6.41,192.9,147.16,79.12,54.37,0,26.04,20.58,0,64.78,22.03,28.87,371.89,23.11,35.22,23.71,49.24,13.91,421785.93,575567.1,687.29,0,0,0,0,4.89,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)에스앤에스텍,101490,201812,6.69,2.36,-6.99,19.12,1.67,13.2,23.7,7.58,5.85,0,0,3.78,0.5,5,6.31,0.85,17.16,0.77,1.41,1.59,9.28,146.21,109.87,58.82,55.41,0,24.73,17.89,0,64.35,25.25,33.6,203.46,35.72,35.65,24.86,78.64,10.62,363629.05,543330.42,662.1,0,0,0,0,5.13,0,0,0,0,0,0,3,      그 외 기타 전자부품 제조업,0,0
(주)에스앤에스텍,101490,201912,14.6,9.5,-5.25,28.41,11.19,38.43,26.53,11.96,12,0,0,7.79,0.65,5.01,5.73,1.25,13.21,1,1.85,1.78,9.52,149.72,109.27,50.86,53.05,0,22.4,12.46,0,65.34,28.76,39.4,232.51,40.28,34.66,27.02,81.36,13.09,307864.87,500817.42,658.13,0,0,0,0,5.04,0,0,0,0,0,0,3,      그 외 기타 전자부품 제조업,0,0
(주)우주일렉트로닉스,65680,201112,33,5.9,0.33,6.08,6.41,-12.46,24.59,6.49,7.13,6.15,7.35,5.44,0.84,3.96,4.99,2.5,13.18,1.1,3.53,1.35,4.2,265.62,201.77,29.39,30.82,10.49,51.67,14.96,116.07,76.44,47.24,62.19,228.55,30.63,23.56,24.04,38.55,38.78,115726.08,134309.73,358.81,93.47173124,30.15,37.04,108171.17,4.4,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)우주일렉트로닉스,65680,201212,25.27,3.29,19.31,-6.66,4.62,20.28,26.25,4.59,5.75,7.99,8.3,4.42,0.96,5.01,5.57,2.74,18.66,1.25,4.18,1.63,5.64,248.88,189.31,27.4,29.17,10.74,42.49,10.13,89.34,77.42,42.75,56.2,482.03,29.17,22.58,23.93,40.01,33.62,101417.9,120246.53,273.41,79.37550445,29.44,31.07,80500.97,5.77,0,1,0,1,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)우주일렉트로닉스,65680,201312,24.02,6.03,1.51,8.99,7.31,17.22,24.99,6.18,8.56,8.38,7.77,6.67,1.08,7.33,6.63,2.93,43.27,1.38,4.88,1.89,5.8,266.85,226.35,59.54,27.63,13.08,61.43,12.69,101.66,78.35,49,57.77,826.97,27.63,21.65,15.18,24.28,36.12,101447.77,133680.35,292.71,127.718586,44.26,42.25,129567.66,6.11,0,0,0,0,0,1,2,      그 외 기타 전자부품 제조업,0,0
(주)우주일렉트로닉스,65680,201412,12.67,5.76,-0.76,11.33,3.41,-18.16,24.83,4.8,5.17,4.72,5.67,4,0.83,8.32,6.02,2.39,47.05,1.08,3.7,1.4,4.33,260.02,232.85,53.48,30.53,13.03,71.27,20.56,127.97,76.61,54.46,60.81,636.98,30.53,23.39,10.45,16.98,37.42,123816.96,175984.3,394.43,111.0328954,34.86,42.99,137477.56,7.02,0,0,0,0,0,0,3,      그 외 기타 전자부품 제조업,0,0
(주)우주일렉트로닉스,65680,201512,21.09,1.91,-0.81,2.93,-0.19,1.03,27.18,6.99,7.48,6.24,7.7,5.67,0.81,8.17,6.75,2.43,48.12,1.07,3.36,1.33,4.41,246.09,213.69,66.72,33.27,13.25,59.79,18.57,112.66,75.04,53.33,61.42,719.87,33.26,24.96,13.17,22.18,36.46,133439.77,200582.36,412.1,105.2712055,34.09,42.41,140473.66,7.89,0,0,0,0,0,0,3,      그 외 기타 전자부품 제조업,0,0
(주)우주일렉트로닉스,65680,201612,29.12,3.2,-4.75,6.88,2.59,18.6,24.91,6.42,8.05,8.19,8.73,6.02,0.94,8.64,7.73,2.97,58.93,1.25,3.72,1.5,4.84,250.29,217.95,59.53,34.07,9.55,53.33,14.67,141.85,74.59,55.38,63.6,720.44,34.07,25.41,12.92,21.52,38.19,112458.75,190547.27,375.27,116.9016833,35.03,37.93,131466.17,6.24,0,0,0,0,0,1,3,      그 외 기타 전자부품 제조업,0,0
(주)우주일렉트로닉스,65680,201712,16.01,-0.4,4.89,-1.29,3.07,-4.78,20.21,5.08,5.9,3.98,4.51,4.48,0.88,8.01,7.21,2.83,49.79,1.16,3.65,1.39,4.39,276.34,235.42,57.25,29.55,11.52,39.45,10.19,78.1,77.19,53.7,63.04,589.64,29.55,22.81,14.81,23.21,40.23,120556.29,220053.06,413.91,110.8976169,32.3,36.58,133694.05,5.89,0,0,0,0,0,1,2,      그 외 기타 전자부품 제조업,0,0
(주)우주일렉트로닉스,65680,201812,0.82,-1.12,-1.21,-1.88,-0.64,-10.11,16.05,0.25,0.26,0.31,0.39,0.2,0.8,7.6,6.5,2.5,52.43,1.03,3.53,1.27,4,278.86,241.87,62.69,28.92,14.24,12.56,3.51,19.78,77.57,54.25,62.55,867.94,28.92,22.43,13.27,20.68,40.12,144175.74,269386.29,458.5,80.54067698,25.33,31.55,116120.12,7.09,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)우주일렉트로닉스,65680,201912,14.6,8.19,16.71,2.1,5.14,2.36,23.59,6.17,6.37,6.56,8.31,4.87,0.79,7.08,6.43,2.37,69.64,1.03,3.35,1.3,4.37,242.81,206.89,78.42,32.66,13.65,33.26,10.78,60.01,75.38,50.3,59.03,971.82,32.25,24.62,14.79,25.15,34.72,145750.64,294212.23,523.97,103.7898262,28.87,38.01,151274.33,6.9,0,1,0,0,0,1,3,      그 외 기타 전자부품 제조업,1,0
(주)트루윈,105550,201412,3.44,-15.14,6428.25,6.32,-29.35,11.93,27.29,6.14,5.82,0,0,3.84,0.63,18.3,5.71,3.04,24.4,0.95,1.84,1.45,5.4,208.36,185.23,4.78,68.01,0,37.42,22.23,0,59.52,43.13,48.51,449.15,39.12,40.48,11.1,21.34,25.23,86977.31,81341.53,356.39,0,0,0,0,6.78,0,0,0,0,0,0,2,      그 외 기타 전자부품 제조업,0,0
(주)트루윈,105550,201512,-2.6,40.96,118.51,-23.77,3.08,-11.09,11.13,-11.76,-11.79,0,0,-5.91,0.5,8.44,4.99,0.86,23.2,1,1.01,1.42,50.03,107.01,85.65,3.58,129.76,0,12.26,16.11,0,43.52,21,26.23,467.39,56.33,56.48,19.96,304.78,1.72,277727.74,100816.59,450.93,0,0,0,0,7.09,0,1,0,0,0,0,1,      그 외 기타 전자부품 제조업,0,0
(주)트루윈,105550,201612,-11.88,3.7,-25.91,31.66,-35.45,3.31,2.69,-58.82,-72.91,0,0,-25.64,0.44,8.52,2.94,0.75,6.42,1.24,0.67,1.46,-6.52,71.72,61.52,1.92,269.09,0,-11.02,-18.77,0,27.09,28.57,33.31,127.99,171.41,72.91,14.22,-36.06,-13.13,205915.52,106280.3,436.08,0,0,0,0,7.32,0,1,0,0,0,0,1,      그 외 기타 전자부품 제조업,0,0
